This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for D-12644969 (margin) on 9/6/14 02:40:14

None
Instrument,Qty,Days,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
AAPL,,,,,+0.64%,($2.50),($14.50),"$4,937.25"
APPLE INC COM,+100,,98.745,+.625,,($2.50),($24.50),
100 SEP 14 97.5 CALL,0,14,3.275,+.175,,$0.00,$20.00,
100 SEP 14 100 CALL,0,14,2.005,+.095,,$0.00,($10.00),
BIDU,,,,,+1.19%,$0.00,($41.50),"($3,402.90)"
BAIDU INC ADR,-10,,226.86,+2.66,,$0.00,$37.50,
100 (Weeklys) SEP2 14 222.5 CALL,0,7,5.75,+1.60,,$0.00,($160.00),
100 SEP 14 230 CALL,0,14,3.25,+.835,,$0.00,$81.00,
CELG,,,,,-0.62%,$4.00,($331.50),"$4,550.00"
CELGENE CORP COM,+100,,93.35,-.58,,$9.00,($276.00),
100 SEP 14 85 PUT,0,14,.15,+.03,,$0.00,($3.00),
100 SEP 14 90 CALL,0,14,4.00,-.475,,$0.00,($47.50),
100 SEP 14 91 CALL,-1,14,3.20,-.475,,($5.00),($5.00),
CSCO,,,,,+0.38%,$0.00,($17.00),"$1,250.25"
CISCO SYSTEMS INC COM,+100,,25.005,+.095,,($0.50),($7.50),
100 SEP 14 24 CALL,0,14,1.01,+.095,,$0.00,($11.00),
100 SEP 14 24 PUT,0,14,.025,-.01,,$0.00,$1.00,
100 SEP 14 25 PUT,+1,14,.225,-.065,,$0.50,$0.50,
FB,,,,,+1.45%,$3.20,$52.70,"($11,557.95)"
FACEBOOK INC COM,-100,,77.053,+1.103,,$2.70,$77.70,
100 SEP 14 72.5 CALL,0,14,4.875,+.925,,$0.00,($95.00),
100 SEP 14 75 CALL,0,14,2.81,+.665,,$0.00,$69.50,
100 SEP 14 77.5 CALL,+1,14,1.335,+.365,,$0.50,$0.50,
FSLR,,,,,-0.08%,($3.00),($3.50),"($10,723.50)"
FIRST SOLAR INC COM,-100,,71.49,-.06,,($1.00),$2.50,
100 (Weeklys) SEP2 14 67.5 PUT,0,7,.25,-.075,,$0.00,($7.50),
100 SEP 14 67.5 PUT,0,14,.615,-.045,,$0.00,$3.50,
100 SEP 14 71 PUT,-1,14,1.69,-.06,,($2.00),($2.00),
GILD,,,,,-2.57%,($11.50),$220.50,$0.00
GILEAD SCIENCES INC COM,0,,104.11,-2.75,,$0.00,$205.00,
100 SEP 14 90 PUT,0,14,.205,+.12,,$0.00,$12.00,
100 SEP 14 92.5 PUT,0,14,.285,+.15,,$0.00,$15.00,
100 SEP 14 105 CALL,+1,14,2.555,-1.27,,($11.50),($11.50),
IBM,,,,,+0.15%,($2.50),($158.50),$0.00
INTL BUSINESS MACHINES COM,0,,190.97,+.29,,$0.00,($191.00),
100 SEP 14 185 CALL,0,14,6.35,+.375,,$0.00,$40.00,
100 SEP 14 190 CALL,0,14,2.345,-.01,,$0.00,($5.00),
100 SEP 14 190 PUT,+1,14,1.335,-.20,,($2.50),($2.50),
INTC,,,,,+0.27%,$0.00,($74.00),($680.00)
INTEL CORP COM,0,,35.00,+.095,,$0.00,($82.50),
100 SEP 14 33 PUT,0,14,.07,-.005,,$0.00,$0.50,
100 SEP 14 34 CALL,0,14,1.18,+.055,,$0.00,$8.00,
100 SEP 14 35.5 CALL,-1,14,.30,+.005,,$0.00,$0.00,
MSFT,,,,,+1.12%,$0.00,$23.00,($925.80)
MICROSOFT CORP COM,0,,45.765,+.505,,$0.00,($15.50),
100 SEP 14 44 CALL,0,14,1.86,+.455,,$0.00,$45.00,
100 SEP 14 44 PUT,0,14,.08,-.065,,$0.00,($6.50),
100 SEP 14 45.5 PUT,-1,14,.37,-.26,,$0.00,$0.00,
QCOM,,,,,+0.74%,($1.00),($81.00),$0.00
QUALCOMM INC COM,0,,75.6636,+.5536,,$0.00,($84.50),
100 SEP 14 70 PUT,0,14,.075,0,,$0.00,$0.00,
100 SEP 14 72.5 PUT,0,14,.13,-.045,,$0.00,$4.50,
